Location,Social Category,year,level,gender,drop out rate
Karnataka,ST,2015-16,primary,girls,1.49
Karnataka,OBC,2015-16,primary,girls,0
Karnataka,Overall,2015-16,primary,girls,2.01
Kerala,General,2015-16,primary,girls,2.03
Kerala,SC,2015-16,primary,girls,0
Kerala,ST,2015-16,primary,girls,0.24
Kerala,OBC,2015-16,primary,girls,0
Kerala,Overall,2015-16,primary,girls,0
Lakshadweep,General,2015-16,primary,girls,0
Lakshadweep,SC,2015-16,primary,girls,0
Lakshadweep,ST,2015-16,primary,girls,0
Lakshadweep,OBC,2015-16,primary,girls,8.7
Lakshadweep,Overall,2015-16,primary,girls,0
Madhya Pradesh,General,2015-16,primary,girls,4.8
Madhya Pradesh,SC,2015-16,primary,girls,6.59
Madhya Pradesh,ST,2015-16,primary,girls,9.34
Madhya Pradesh,OBC,2015-16,primary,girls,5.85
Madhya Pradesh,Overall,2015-16,primary,girls,6.72
Maharashtra,General,2015-16,primary,girls,0.64
Maharashtra,SC,2015-16,primary,girls,1.9
Maharashtra,ST,2015-16,primary,girls,2.48
Maharashtra,OBC,2015-16,primary,girls,1.29
Maharashtra,Overall,2015-16,primary,girls,1.26
Manipur,General,2015-16,primary,girls,8.68
Manipur,SC,2015-16,primary,girls,6.37
Manipur,ST,2015-16,primary,girls,13.49
Manipur,OBC,2015-16,primary,girls,4.91
Manipur,Overall,2015-16,primary,girls,9.83
Meghalaya,General,2015-16,primary,girls,5.67
Meghalaya,SC,2015-16,primary,girls,11.8
Meghalaya,ST,2015-16,primary,girls,8.85
Meghalaya,OBC,2015-16,primary,girls,0
Meghalaya,Overall,2015-16,primary,girls,8.57
Mizoram,General,2015-16,primary,girls,0
Mizoram,SC,2015-16,primary,girls,0
Mizoram,ST,2015-16,primary,girls,10.7
Mizoram,OBC,2015-16,primary,girls,0
Mizoram,Overall,2015-16,primary,girls,10.03
Nagaland,General,2015-16,primary,girls,30.23
Nagaland,SC,2015-16,primary,girls,0
Nagaland,ST,2015-16,primary,girls,5.25
Nagaland,OBC,2015-16,primary,girls,0
Nagaland,Overall,2015-16,primary,girls,5.02
Odisha,General,2015-16,primary,girls,0
Odisha,SC,2015-16,primary,girls,2.97
Odisha,ST,2015-16,primary,girls,7.11
Odisha,OBC,2015-16,primary,girls,0.43
Odisha,Overall,2015-16,primary,girls,2.81
Puducherry,General,2015-16,primary,girls,22.64
Puducherry,SC,2015-16,primary,girls,1.05
Puducherry,ST,2015-16,primary,girls,0
Puducherry,OBC,2015-16,primary,girls,0
Puducherry,Overall,2015-16,primary,girls,0.38
Punjab,General,2015-16,primary,girls,6.49
Punjab,SC,2015-16,primary,girls,1.37
Punjab,ST,2015-16,primary,girls,0
Punjab,OBC,2015-16,primary,girls,0
Punjab,Overall,2015-16,primary,girls,3.25
Rajasthan,General,2015-16,primary,girls,2.84
Rajasthan,SC,2015-16,primary,girls,4.88
Rajasthan,ST,2015-16,primary,girls,6.11
Rajasthan,OBC,2015-16,primary,girls,5.42
Rajasthan,Overall,2015-16,primary,girls,5.02
Sikkim,General,2015-16,primary,girls,6.36
Sikkim,SC,2015-16,primary,girls,0
Sikkim,ST,2015-16,primary,girls,0
Sikkim,OBC,2015-16,primary,girls,0.1
Sikkim,Overall,2015-16,primary,girls,0.62
Tamilnadu,General,2015-16,primary,girls,6.83
Tamilnadu,SC,2015-16,primary,girls,0.09
Tamilnadu,ST,2015-16,primary,girls,4.94
Tamilnadu,OBC,2015-16,primary,girls,0
Tamilnadu,Overall,2015-16,primary,girls,0
Telangana,General,2015-16,primary,girls,0
Telangana,SC,2015-16,primary,girls,4.19
Telangana,ST,2015-16,primary,girls,8.01
Telangana,OBC,2015-16,primary,girls,3.59
Telangana,Overall,2015-16,primary,girls,1.93
Tripura,General,2015-16,primary,girls,1.78
Tripura,SC,2015-16,primary,girls,0
Tripura,ST,2015-16,primary,girls,2.27
Tripura,OBC,2015-16,primary,girls,0
Tripura,Overall,2015-16,primary,girls,1.19
Uttarakhand,General,2015-16,primary,girls,2.08
Uttarakhand,SC,2015-16,primary,girls,2.85
Uttarakhand,ST,2015-16,primary,girls,0.33
Uttarakhand,OBC,2015-16,primary,girls,7
Uttarakhand,Overall,2015-16,primary,girls,3.67
Uttar Pradesh,General,2015-16,primary,girls,9.36
Uttar Pradesh,SC,2015-16,primary,girls,7.83
Uttar Pradesh,ST,2015-16,primary,girls,4.21
Uttar Pradesh,OBC,2015-16,primary,girls,7.72
Uttar Pradesh,Overall,2015-16,primary,girls,8.04
West Bengal,General,2015-16,primary,girls,3
West Bengal,SC,2015-16,primary,girls,2.6
West Bengal,ST,2015-16,primary,girls,5.02
West Bengal,OBC,2015-16,primary,girls,0
West Bengal,Overall,2015-16,primary,girls,0.78
All India,Overall,2015-16,primary,girls,3.89
Andaman & Nicobar Islands,General,2016-17,primary,girls,4.59
Andaman & Nicobar Islands,SC,2016-17,primary,girls,0
Andaman & Nicobar Islands,ST,2016-17,primary,girls,1.78
Andaman & Nicobar Islands,OBC,2016-17,primary,girls,0
Andaman & Nicobar Islands,Overall,2016-17,primary,girls,1.25
Andhra Pradesh,General,2016-17,primary,girls,0.96
Andhra Pradesh,SC,2016-17,primary,girls,2.08
Andhra Pradesh,ST,2016-17,primary,girls,8.61
Andhra Pradesh,OBC,2016-17,primary,girls,1.17
Andhra Pradesh,Overall,2016-17,primary,girls,1.9
Arunachal Pradesh,General,2016-17,primary,girls,15.31
Arunachal Pradesh,SC,2016-17,primary,girls,0
Arunachal Pradesh,ST,2016-17,primary,girls,26.44
Arunachal Pradesh,OBC,2016-17,primary,girls,0
Arunachal Pradesh,Overall,2016-17,primary,girls,22.82
Assam,General,2016-17,primary,girls,4.39
Assam,SC,2016-17,primary,girls,6.41
Assam,ST,2016-17,primary,girls,6.34
Assam,OBC,2016-17,primary,girls,4.96
Assam,Overall,2016-17,primary,girls,4.98
Bihar,General,2016-17,primary,girls,10.44
Bihar,SC,2016-17,primary,girls,7.14
Bihar,ST,2016-17,primary,girls,11.62
Bihar,OBC,2016-17,primary,girls,8.87
Bihar,Overall,2016-17,primary,girls,8.78
Chandigarh,General,2016-17,primary,girls,0
Chandigarh,SC,2016-17,primary,girls,0
Chandigarh,ST,2016-17,primary,girls,7.69
Chandigarh,OBC,2016-17,primary,girls,0
Chandigarh,Overall,2016-17,primary,girls,0
Chhattisgarh,General,2016-17,primary,girls,0
Chhattisgarh,SC,2016-17,primary,girls,4
Chhattisgarh,ST,2016-17,primary,girls,5
Chhattisgarh,OBC,2016-17,primary,girls,2.09
Chhattisgarh,Overall,2016-17,primary,girls,3.07
Dadra & Nagar Haveli,General,2016-17,primary,girls,0
Dadra & Nagar Haveli,SC,2016-17,primary,girls,0
Dadra & Nagar Haveli,ST,2016-17,primary,girls,0.4
Dadra & Nagar Haveli,OBC,2016-17,primary,girls,0
Dadra & Nagar Haveli,Overall,2016-17,primary,girls,0
Daman & Diu,General,2016-17,primary,girls,0
Daman & Diu,SC,2016-17,primary,girls,0
Daman & Diu,ST,2016-17,primary,girls,0
Daman & Diu,OBC,2016-17,primary,girls,0
Daman & Diu,Overall,2016-17,primary,girls,0
Delhi,General,2016-17,primary,girls,0
Delhi,SC,2016-17,primary,girls,0
Delhi,ST,2016-17,primary,girls,3.3
Delhi,OBC,2016-17,primary,girls,5.58
Delhi,Overall,2016-17,primary,girls,0
Goa,General,2016-17,primary,girls,8.37
Goa,SC,2016-17,primary,girls,0
Goa,ST,2016-17,primary,girls,0
Goa,OBC,2016-17,primary,girls,0
Goa,Overall,2016-17,primary,girls,2.22
Gujarat,General,2016-17,primary,girls,0.53
Gujarat,SC,2016-17,primary,girls,1.12
Gujarat,ST,2016-17,primary,girls,1.73
Gujarat,OBC,2016-17,primary,girls,1.04
Gujarat,Overall,2016-17,primary,girls,1.05
Haryana,General,2016-17,primary,girls,0
Haryana,SC,2016-17,primary,girls,0
Haryana,ST,2016-17,primary,girls,0
Haryana,OBC,2016-17,primary,girls,1.91
Haryana,Overall,2016-17,primary,girls,0
Himachal Pradesh,General,2016-17,primary,girls,2.14
Himachal Pradesh,SC,2016-17,primary,girls,0.44
Himachal Pradesh,ST,2016-17,primary,girls,0
Himachal Pradesh,OBC,2016-17,primary,girls,0
Himachal Pradesh,Overall,2016-17,primary,girls,1.03
Jammu & Kashmir,General,2016-17,primary,girls,17.51
Jammu & Kashmir,SC,2016-17,primary,girls,4.88
Jammu & Kashmir,ST,2016-17,primary,girls,13.53
Jammu & Kashmir,OBC,2016-17,primary,girls,6.65
Jammu & Kashmir,Overall,2016-17,primary,girls,14.91
Jharkhand,General,2016-17,primary,girls,21.87
Jharkhand,SC,2016-17,primary,girls,19.6
Jharkhand,ST,2016-17,primary,girls,15.74
Jharkhand,OBC,2016-17,primary,girls,13.5
Jharkhand,Overall,2016-17,primary,girls,15.9
Karnataka,General,2016-17,primary,girls,0
Karnataka,SC,2016-17,primary,girls,2.17
Karnataka,ST,2016-17,primary,girls,4.97
Karnataka,OBC,2016-17,primary,girls,7.61
Karnataka,Overall,2016-17,primary,girls,1.96
Kerala,General,2016-17,primary,girls,0.63
Kerala,SC,2016-17,primary,girls,0.02
Kerala,ST,2016-17,primary,girls,3.46
Kerala,OBC,2016-17,primary,girls,0
Kerala,Overall,2016-17,primary,girls,0.04
Lakshadweep,General,2016-17,primary,girls,41.67
Lakshadweep,SC,2016-17,primary,girls,0
Lakshadweep,ST,2016-17,primary,girls,0.57
Lakshadweep,OBC,2016-17,primary,girls,0
Lakshadweep,Overall,2016-17,primary,girls,0.61
Madhya Pradesh,General,2016-17,primary,girls,4.01
Madhya Pradesh,SC,2016-17,primary,girls,4.62
Madhya Pradesh,ST,2016-17,primary,girls,6.15
Madhya Pradesh,OBC,2016-17,primary,girls,3.51
Madhya Pradesh,Overall,2016-17,primary,girls,4.44
Maharashtra,General,2016-17,primary,girls,0.69
Maharashtra,SC,2016-17,primary,girls,0.79
Maharashtra,ST,2016-17,primary,girls,1.73
Maharashtra,OBC,2016-17,primary,girls,0.43
Maharashtra,Overall,2016-17,primary,girls,0.74
Manipur,General,2016-17,primary,girls,31.96
Manipur,SC,2016-17,primary,girls,12.98
Manipur,ST,2016-17,primary,girls,20.52
Manipur,OBC,2016-17,primary,girls,0
Manipur,Overall,2016-17,primary,girls,17.92
Meghalaya,General,2016-17,primary,girls,20.51
Meghalaya,SC,2016-17,primary,girls,16.97
Meghalaya,ST,2016-17,primary,girls,17.28
Meghalaya,OBC,2016-17,primary,girls,0
Meghalaya,Overall,2016-17,primary,girls,17.36
Mizoram,General,2016-17,primary,girls,0
Mizoram,SC,2016-17,primary,girls,68.08
Mizoram,ST,2016-17,primary,girls,15.23
Mizoram,OBC,2016-17,primary,girls,0
Mizoram,Overall,2016-17,primary,girls,15.49
Nagaland,General,2016-17,primary,girls,9.31
Nagaland,SC,2016-17,primary,girls,31.07
Nagaland,ST,2016-17,primary,girls,23.32
Nagaland,OBC,2016-17,primary,girls,0
Nagaland,Overall,2016-17,primary,girls,21.44
Odisha,General,2016-17,primary,girls,4.22
Odisha,SC,2016-17,primary,girls,3.18
Odisha,ST,2016-17,primary,girls,7.63
Odisha,OBC,2016-17,primary,girls,2.16
Odisha,Overall,2016-17,primary,girls,4.44
Puducherry,General,2016-17,primary,girls,0
Puducherry,SC,2016-17,primary,girls,0
Puducherry,ST,2016-17,primary,girls,0
Puducherry,OBC,2016-17,primary,girls,2.49
Puducherry,Overall,2016-17,primary,girls,0
Punjab,General,2016-17,primary,girls,3.28
Punjab,SC,2016-17,primary,girls,2.99
Punjab,ST,2016-17,primary,girls,21.43
Punjab,OBC,2016-17,primary,girls,0
Punjab,Overall,2016-17,primary,girls,2.63
Rajasthan,General,2016-17,primary,girls,3.13
Rajasthan,SC,2016-17,primary,girls,7.28
Rajasthan,ST,2016-17,primary,girls,9.2
Rajasthan,OBC,2016-17,primary,girls,7.52
Rajasthan,Overall,2016-17,primary,girls,7.06
Sikkim,General,2016-17,primary,girls,0
Sikkim,SC,2016-17,primary,girls,8.37
Sikkim,ST,2016-17,primary,girls,7.19
Sikkim,OBC,2016-17,primary,girls,9
Sikkim,Overall,2016-17,primary,girls,4.09
Tamilnadu,General,2016-17,primary,girls,0
Tamilnadu,SC,2016-17,primary,girls,0.82
Tamilnadu,ST,2016-17,primary,girls,5.66
Tamilnadu,OBC,2016-17,primary,girls,0.77
Tamilnadu,Overall,2016-17,primary,girls,0.81
Telangana,General,2016-17,primary,girls,21.84
Telangana,SC,2016-17,primary,girls,4.62
Telangana,ST,2016-17,primary,girls,12.13
Telangana,OBC,2016-17,primary,girls,0
Telangana,Overall,2016-17,primary,girls,7.75
Tripura,General,2016-17,primary,girls,7.21
Tripura,SC,2016-17,primary,girls,0.75
Tripura,ST,2016-17,primary,girls,6.77
Tripura,OBC,2016-17,primary,girls,0
Tripura,Overall,2016-17,primary,girls,4.44
Uttarakhand,General,2016-17,primary,girls,3.09
Uttarakhand,SC,2016-17,primary,girls,7.61
Uttarakhand,ST,2016-17,primary,girls,6.52
Uttarakhand,OBC,2016-17,primary,girls,6.98
Uttarakhand,Overall,2016-17,primary,girls,5.46
Uttar Pradesh,General,2016-17,primary,girls,5.16
Uttar Pradesh,SC,2016-17,primary,girls,15.16
Uttar Pradesh,ST,2016-17,primary,girls,2.4
Uttar Pradesh,OBC,2016-17,primary,girls,10.63
Uttar Pradesh,Overall,2016-17,primary,girls,10.86
West Bengal,General,2016-17,primary,girls,12.67
West Bengal,SC,2016-17,primary,girls,7.91
West Bengal,ST,2016-17,primary,girls,12.67
West Bengal,OBC,2016-17,primary,girls,0
West Bengal,Overall,2016-17,primary,girls,7.89
All India,Overall,2016-17,primary,girls,6.3
Andaman & Nicobar Islands,General,2017-18,primary,girls,1.16
Andaman & Nicobar Islands,SC,2017-18,primary,girls,100
Andaman & Nicobar Islands,ST,2017-18,primary,girls,0
Andaman & Nicobar Islands,OBC,2017-18,primary,girls,0
Andaman & Nicobar Islands,Overall,2017-18,primary,girls,0.31
Andhra Pradesh,General,2017-18,primary,girls,0
Andhra Pradesh,SC,2017-18,primary,girls,0
Andhra Pradesh,ST,2017-18,primary,girls,0.24
Andhra Pradesh,OBC,2017-18,primary,girls,0
Andhra Pradesh,Overall,2017-18,primary,girls,0
Arunachal Pradesh,General,2017-18,primary,girls,7.62
Arunachal Pradesh,SC,2017-18,primary,girls,3.33
Arunachal Pradesh,ST,2017-18,primary,girls,5.92
Arunachal Pradesh,OBC,2017-18,primary,girls,0
Arunachal Pradesh,Overall,2017-18,primary,girls,6.14
Assam,General,2017-18,primary,girls,10.63
